TimeStamp,RAW
2021-11-05T14:01:04.5876000Z,T|115128||151.55|100||1636120864.5876|||||||||
2021-11-05T14:01:04.5876000Z,T|115131||151.54|100||1636120864.5876|||||||||
2021-11-05T14:01:04.5876000Z,T|115133||151.54|300||1636120864.5876|||||||||
2021-11-05T14:01:05.0923000Z,T|115150||151.55|100||1636120865.0923|||||||||
2021-11-05T14:01:08.4807000Z,T|115318||151.55|50||1636120868.4807|||||||||
2021-11-05T14:01:09.6122000Z,T|115372||151.56|100||1636120869.6122|||||||||
2021-11-05T14:01:09.6122000Z,T|115380||151.56|100||1636120869.6122|||||||||
2021-11-05T14:01:09.6228000Z,T|115389||151.56|99||1636120869.6228|||||||||
2021-11-05T14:01:09.9797000Z,T|115425||151.56|80||1636120869.9797|||||||||
2021-11-05T14:01:09.9797000Z,T|115427||151.56|20||1636120869.9797|||||||||
2021-11-05T14:01:11.8005000Z,T|115516||151.57|100||1636120871.8005|||||||||
2021-11-05T14:01:13.5983000Z,T|115624||151.53|1||1636120873.5983|||||||||
2021-11-05T14:01:13.5983000Z,T|115631||151.52|100||1636120873.5983|||||||||
2021-11-05T14:01:16.0147000Z,T|115726||151.53|100||1636120876.0147|||||||||
2021-11-05T14:01:17.2715000Z,T|115801||151.52|100||1636120877.2715|||||||||
2021-11-05T14:01:17.9584000Z,T|115827||151.52|39||1636120877.9584|||||||||
2021-11-05T14:01:17.9584000Z,T|115829||151.52|102||1636120877.9584|||||||||
2021-11-05T14:01:17.9584000Z,T|115831||151.52|46||1636120877.9584|||||||||
2021-11-05T14:01:17.9641000Z,T|115839||151.52|100||1636120877.9641|||||||||
2021-11-05T14:01:21.2647000Z,T|115989||151.53|100||1636120881.2647|||||||||
2021-11-05T14:01:21.2647000Z,T|115991||151.53|100||1636120881.2647|||||||||
2021-11-05T14:01:25.3095000Z,T|116140||151.53|100||1636120885.3095|||||||||
2021-11-05T14:01:25.5438000Z,T|116170||151.54|1||1636120885.5438|||||||||
2021-11-05T14:01:25.5438000Z,T|116172||151.54|42||1636120885.5438|||||||||
2021-11-05T14:01:29.3133000Z,T|116346||151.53|11||1636120889.3133|||||||||
2021-11-05T14:01:31.4112000Z,T|116402||151.53|13||1636120891.4112|||||||||
2021-11-05T14:01:31.4112000Z,T|116406||151.53|87||1636120891.4112|||||||||
2021-11-05T14:01:31.4112000Z,T|116409||151.53|100||1636120891.4112|||||||||
2021-11-05T14:01:31.4168000Z,T|116420||151.54|37||1636120891.4168|||||||||
2021-11-05T14:01:31.4168000Z,T|116425||151.54|100||1636120891.4168|||||||||
2021-11-05T14:01:31.4248000Z,T|116439||151.54|25||1636120891.4248|||||||||
2021-11-05T14:01:31.4248000Z,T|116441||151.54|75||1636120891.4248|||||||||
2021-11-05T14:01:32.3208000Z,T|116481||151.54|100||1636120892.3208|||||||||
2021-11-05T14:01:32.3208000Z,T|116483||151.54|100||1636120892.3208|||||||||
2021-11-05T14:01:32.3208000Z,T|116485||151.54|65||1636120892.3208|||||||||
2021-11-05T14:01:32.4796000Z,T|116512||151.54|100||1636120892.4796|||||||||
2021-11-05T14:01:36.1763000Z,T|116631||151.56|100||1636120896.1763|||||||||
2021-11-05T14:01:36.1834000Z,T|116643||151.57|99||1636120896.1834|||||||||
2021-11-05T14:01:39.9775000Z,T|116790||151.58|100||1636120899.9775|||||||||
2021-11-05T14:01:44.9870000Z,T|116963||151.58|100||1636120904.987|||||||||
2021-11-05T14:01:45.1874000Z,T|116974||151.58|100||1636120905.1874|||||||||
2021-11-05T14:01:45.1874000Z,T|116976||151.58|100||1636120905.1874|||||||||
2021-11-05T14:01:47.5793000Z,T|117039||151.59|100||1636120907.5793|||||||||
2021-11-05T14:01:48.0304000Z,T|117092||151.58|100||1636120908.0304|||||||||
2021-11-05T14:01:50.3871000Z,T|117144||151.58|100||1636120910.3871|||||||||
2021-11-05T14:01:50.3871000Z,T|117146||151.58|100||1636120910.3871|||||||||
2021-11-05T14:01:51.0407000Z,T|117219||151.57|100||1636120911.0407|||||||||
2021-11-05T14:01:51.6305000Z,T|117268||151.56|100||1636120911.6305|||||||||
2021-11-05T14:01:51.6305000Z,T|117270||151.56|100||1636120911.6305|||||||||
2021-11-05T14:01:51.6305000Z,T|117272||151.56|100||1636120911.6305|||||||||
2021-11-05T14:01:52.3481000Z,T|117308||151.56|100||1636120912.3481|||||||||
2021-11-05T14:01:52.8263000Z,T|117346||151.58|100||1636120912.8263|||||||||
