time_stamp,seconds,nanos,bid_size,bid_price,ask_price,ask_size,trade_price,trade_size,not_shown_book_ticks_before
2022-01-14 14:55:06.5801,1642172106,580100000,,,,,173.05,100,
2022-01-14 14:55:07.3861,1642172107,386100000,200,173.04,173.05,200,,,146
2022-01-14 14:55:07.4066,1642172107,406600000,,,,,173.045,200,
2022-01-14 14:55:07.4066,1642172107,406600000,300,173.04,173.05,200,,,1
2022-01-14 14:55:07.4066,1642172107,406600000,,,,,173.045,100,
2022-01-14 14:55:07.4172,1642172107,417200000,100,173.04,173.06,404,,,6
2022-01-14 14:55:07.4172,1642172107,417200000,,,,,173.05,100,
2022-01-14 14:55:07.4229,1642172107,422900000,127,173.05,173.06,100,,,15
2022-01-14 14:55:07.4229,1642172107,422900000,,,,,173.05,73,
2022-01-14 14:55:07.8083,1642172107,808300000,400,173.04,173.06,100,,,99
2022-01-14 14:55:07.8083,1642172107,808300000,,,,,173.06,100,
2022-01-14 14:55:07.8083,1642172107,808300000,400,173.04,173.07,400,,,1
2022-01-14 14:55:07.8083,1642172107,808300000,,,,,173.06,100,
2022-01-14 14:55:08.1264,1642172108,126400000,300,173.06,173.08,200,,,64
2022-01-14 14:55:08.1264,1642172108,126400000,,,,,173.07,200,
2022-01-14 14:55:08.5735,1642172108,573500000,300,173.06,173.08,200,,,127
2022-01-14 14:55:08.5735,1642172108,573500000,,,,,173.07,10,
2022-01-14 14:55:08.5849,1642172108,584900000,200,173.06,173.08,404,,,9
2022-01-14 14:55:08.5849,1642172108,584900000,,,,,173.07,4,
2022-01-14 14:55:08.5907,1642172108,590700000,100,173.07,173.08,4,,,8
2022-01-14 14:55:08.5907,1642172108,590700000,,,,,173.08,100,
2022-01-14 14:55:09.4821,1642172109,482100000,204,173.08,173.11,103,,,150
2022-01-14 14:55:09.4821,1642172109,482100000,,,,,173.09,4,
2022-01-14 14:55:10.1254,1642172110,125400000,174,173.1,173.11,4,,,127
2022-01-14 14:55:10.1254,1642172110,125400000,,,,,173.1,26,
2022-01-14 14:55:10.1254,1642172110,125400000,74,173.1,173.11,4,,,2
2022-01-14 14:55:10.1254,1642172110,125400000,,,,,173.1,26,
2022-01-14 14:55:10.1254,1642172110,125400000,46,173.1,173.11,4,,,1
2022-01-14 14:55:10.1254,1642172110,125400000,,,,,173.1,28,
2022-01-14 14:55:10.1491,1642172110,149100000,9,173.1,173.12,1405,,,8
2022-01-14 14:55:10.1491,1642172110,149100000,,,,,173.1,37,
2022-01-14 14:55:10.288,1642172110,288000000,436,173.09,173.12,1405,,,22
2022-01-14 14:55:10.288,1642172110,288000000,,,,,173.09,64,
2022-01-14 14:55:10.8829,1642172110,882900000,204,173.07,173.1,304,,,113
2022-01-14 14:55:10.8829,1642172110,882900000,,,,,173.08,100,
2022-01-14 14:55:11.8636,1642172111,863600000,400,173.1,173.11,1,,,138
2022-01-14 14:55:11.8636,1642172111,863600000,,,,,173.11,3,
2022-01-14 14:55:11.8636,1642172111,863600000,631,173.1,173.12,1104,,,2
2022-01-14 14:55:11.8636,1642172111,863600000,,,,,173.11,1,
2022-01-14 14:55:11.867,1642172111,867000000,400,173.11,173.12,1028,,,6
2022-01-14 14:55:11.867,1642172111,867000000,,,,,173.12,76,
2022-01-14 14:55:11.872,1642172111,872000000,204,173.1,173.12,928,,,6
2022-01-14 14:55:11.872,1642172111,872000000,,,,,173.12,100,
2022-01-14 14:55:11.872,1642172111,872000000,100,173.11,173.12,828,,,2
2022-01-14 14:55:11.872,1642172111,872000000,,,,,173.12,100,
2022-01-14 14:55:11.921,1642172111,921000000,100,173.12,173.14,200,,,25
2022-01-14 14:55:11.921,1642172111,921000000,,,,,173.13,100,
2022-01-14 14:55:11.9235,1642172111,923500000,200,173.14,173.15,100,,,15
2022-01-14 14:55:11.9235,1642172111,923500000,,,,,173.15,100,
2022-01-14 14:55:11.9235,1642172111,923500000,200,173.14,173.16,299,,,1
2022-01-14 14:55:11.9235,1642172111,923500000,,,,,173.15,100,
2022-01-14 14:55:11.9286,1642172111,928600000,431,173.14,173.16,199,,,11
