Name,Ticker,Exchange,Primary,Country,Currency
Simplify Managed Futures Strategy Etf,CTA,BATS,XNYS,US,USD
Xtrackers Msci Kokusai Equity Etf,KOKU,BATS,XNYS,US,USD
Ishares Trust Yield Optimized Bd Etf,BYLD,BATS,XNYS,US,USD
Ishares Trust Russell Top 200 Etf,IWL,BATS,XNYS,US,USD
Wisdomtree Trust Us Largecap Dividend Fund,DLN,BATS,XNYS,US,USD
Abrdn Physical Palladium Shares Etf,PALL,BATS,XNYS,US,USD
Pimco Municipal Income Opportunities Active Exchange-Traded Fund,MINO,BATS,XNYS,US,USD
Global X Fds Global X Msci Greece Etf Post Rev Splt,GREK,BATS,XNYS,US,USD
Proshares Trust Ii Proshares Ultrashort Euro,EUO,BATS,XNYS,US,USD
Wisdomtree Trust Europe Smallcap Dividend Fd Sbi Usd0001,DFE,BATS,XNYS,US,USD
Bondbloxx Usd High Yield Bond Energy Sector Etf,XHYE,BATS,XNYS,US,USD
Cabana Target Drawdown 5 Etf,TDSA,BATS,XNYS,US,USD
Global X Fds SP 500 Covered Call Etf,XYLD,BATS,XNYS,US,USD
Ishares Inc Msci Japan Small-Cap Etf,SCJ,BATS,XNYS,US,USD
Fmqq The Next Frontier Internet Ecommerce Etf,FMQQ,BATS,XNYS,US,USD
Proshares Trust Ii Ultrashort Bloomberg Crude OilRev Split,SCO,BATS,XNYS,US,USD
Bny Mellon Sustainable Global Emerging Markets Etf,BKES,BATS,XNYS,US,USD
Ishares Trust Intl Developed Prop Etf,WPS,BATS,XNYS,US,USD
Flexshares Trust International Quality Div Dynamic Idx,IQDY,BATS,XNYS,US,USD
Spdr Series Trust Portfolio Corporate Bond Etf,SPBO,BATS,XNYS,US,USD
Inspire Tactical Balanced Esg Etf,RISN,BATS,XNYS,US,USD
Principal Real Estate Active Opportunities Etf,BYRE,BATS,XNYS,US,USD
Ishares Esg Advanced Total Usd Bond Market Etf,EUSB,BATS,XNYS,US,USD
Franklin Templeton Etf Tr Liberty Investment Grade Corporate Etf,FLCO,BATS,XNYS,US,USD
Invesco Exchange Traded Fd Tr Ii Natl Amt-Free Mun Bd Etf,PZA,BATS,XNYS,US,USD
Fidelity Covington Trust Msci Industrials Index,FIDU,BATS,XNYS,US,USD
Ishares Inc Msci Israel Etf,EIS,BATS,XNYS,US,USD
Avantis Core Municipal Fixed Income Etf,AVMU,BATS,XNYS,US,USD
Ishares Trust Russell Mid Cap Etf,IWR,BATS,XNYS,US,USD
Pgim Quant Solutions Strategic Alpha International Equity Etf,PQIN,BATS,XNYS,US,USD
Dimensional Inflation-Protected Securities Etf,DFIP,BATS,XNYS,US,USD
Spdr Series Trust Russell 1000 Yield Focus Etf,ONEY,BATS,XNYS,US,USD
Global X Adaptive US Risk Management Etf,ONOF,BATS,XNYS,US,USD
