Name,Ticker,Exchange,Primary,Index,Isin,Cusip,Sedol
Carrefour Sa,CA,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600']",FR0000120172,F13923119,5641567
Worldline Sa,WLN,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 600']",FR0011981968,,BNFWR44
Publicis Groupe SA,PUB,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 600']",FR0000130577,F7607Z165,4380429
Euroapi Sa,EAPI,XPAR,XPAR,['Cac 40'],FR0014008VX5,F33077102,BQ7ZVF1
Arkema Sa,AKE,XPAR,XPAR,['Euro Stoxx 600'],FR0010313833,F0392W125,B0Z5YZ2
Dekuple SA,DKUPL,XPAR,XPAR,[],FR0000062978,F0017V106,5458789
General Electric Co,GNE,XPAR,XPAR,"['Russell 1000', 'Russell 2000', 'Russell 3000', 'Snp 500']",,369604301,
Europcar Mobility Grp,EUCAR,XPAR,XPAR,[],FR0012789949,,
Smcp Sa,SMCP,XPAR,XPAR,[],FR0013214145,F84440100,BDVP4Y6
Compagnie Des Alpes,CDA,XPAR,XPAR,[],FR0000053324,F2005P158,B1YBWR6
Christian Dior Se,CDI,XPAR,XPAR,['Euro Stoxx 600'],FR0000130403,F26334106,4061393
Synergie Se,SDG,XPAR,XPAR,[],FR0000032658,F90342118,5999749
Gaztransport Et Technigaz,GTT,XPAR,XPAR,[],FR0011726835,F42674113,BJYRDP5
Sopra Steria Group SA,SOP,XPAR,XPAR,['Euro Stoxx 600'],FR0000050809,F20906115,5633616
Alstom Sa,ALO,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 600']",FR0010220475,F0259M475,B0DJ8Q5
Groupe Crit Sa,CEN,XPAR,XPAR,[],FR0000036675,F1511B109,7071775
Ipsos Sa,IPS,XPAR,XPAR,[],FR0000073298,F5310M109,B188NJ2
Courtois SA,COUR,XPAR,XPAR,"['Russell 2000', 'Russell 3000']",FR0000065393,F22428100,4228734
Remy Cointreau Sa,RCO,XPAR,XPAR,['Euro Stoxx 600'],FR0000130395,F7725A100,4741714
Rallye Sa,RAL,XPAR,XPAR,[],FR0000060618,F43743107,4368920
Myhotelmatch Saca,FPN,XPAR,XPAR,[],FR0011277391,,B881LH4
Hydrogene De France,HDF,XPAR,XPAR,[],FR0014003VY4,,BNR4L91
Actia Group Sa,ATI,XPAR,XPAR,[],FR0000076655,F0041Q123,5983786
Nexity Sa,NXI,XPAR,XPAR,[],FR0010112524,F6527B126,B037JC2
Plastic Omnium,POM,XPAR,XPAR,[],FR0000124570,F73325106,B08V9H4
Gaumont Sa,GAM,XPAR,XPAR,[],FR0000034894,F42567101,4412162
Pierre Et Vacances Sa,VAC,XPAR,XPAR,[],FR0000073041,F4447W106,5700479
Bonduelle Sa,BON,XPAR,XPAR,[],FR0000063935,F10689119,5481989
Chargeurs Sa,CRI,XPAR,XPAR,[],FR0000130692,F1615M100,5021318
Manutan International SA,MAN,XPAR,XPAR,[],FR0000032302,F60060104,4564869
Sartorius Stedim Biotech SA,DIM,XPAR,XPAR,['Euro Stoxx 600'],FR0013154002,F8005V210,BYZ2QP5
Verallia Sa,VRLA,XPAR,XPAR,[],FR0013447729,F96976117,BKT7807
Cs Group Sa,SX,XPAR,XPAR,[],FR0007317813,F2056D138,7004856
Rexel Sa,RXL,XPAR,XPAR,['Euro Stoxx 600'],FR0010451203,,B1VP0K0
Fermentalg Sa,FALG,XPAR,XPAR,[],FR0011271600,,BL25DD3
Mercialys Sa,MERY,XPAR,XPAR,[],FR0010241638,F61573105,B0LMF87
Edenred Se,EDEN,XPAR,XPAR,['Euro Stoxx 600'],FR0010908533,F3192L109,B62G1B5
Sogeclair Sa,SOG,XPAR,XPAR,[],FR0000065864,F85585101,5551365
Gerard Perrier Industrie SA,PERR,XPAR,XPAR,[],FR0000061459,F72038106,B1BRLP8
Latecoere,LAT,XPAR,XPAR,[],FR0000032278,F51177107,7530146
Amundi SA,AMUN,XPAR,XPAR,['Euro Stoxx 600'],FR0004125920,F0300Q103,BYZR014
Innate Pharma SA,IPH,XPAR,XPAR,[],FR0010331421,F5277D100,B1G5FB1
Marie Brizard Wine Spirits,BMWS,XPAR,XPAR,[],FR0000060873,F6033R102,5182282
Recylex Sa,RX,XPAR,XPAR,[],FR0000120388,F7699L157,4679406
Air France-Klm,AF,XPAR,XPAR,"['Aex 25', 'Euro Stoxx 600']",FR0000031122,F01699135,4916039
Compagnie De Saint Gobain Sa,SGO,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600']",FR0000125007,F80343100,7380482
Srp Groupe Sa,SRP,XPAR,XPAR,[],FR0013006558,,BYNZ9V3
Pharmagest Interactive,PHA,XPAR,XPAR,[],FR0012882389,F7242R115,BZ04NV8
Korian Sa,KORI,XPAR,XPAR,[],FR0010386334,F5412L108,B1HKRM0
Exel Industries SA,EXE,XPAR,XPAR,[],FR0004527638,F9094V103,5266528
Media 6 SA,EDI,XPAR,XPAR,[],FR0000064404,F6099Q105,5483703
Abc Arbitrage SA,ABCA,XPAR,XPAR,[],FR0004040608,F0011K106,4121714
Cgg,CGG,XPAR,XPAR,[],FR0013181864,,BYVFMG1
Poxel SA,POXEL,XPAR,XPAR,[],FR0012432516,F7S69W106,BVL8RS6
Abeo Sa,ABEO,XPAR,XPAR,[],FR0013185857,,BZ13Z30
Nokia Oyj,NOKIA,XPAR,XPAR,"['Euro Stoxx 50', 'Euro Stoxx 600']",FI0009000681,X61873133,5946455
Lacroix Group Sa,LACR,XPAR,XPAR,[],FR0000066607,,4511445
Bureau Veritas Sa,BVI,XPAR,XPAR,['Euro Stoxx 600'],FR0006174348,F96888114,B28DTJ6
ArtmarketCom Sa,PRC,XPAR,XPAR,[],FR0000074783,F0405C108,5869240
Paris Realty Fund Sa,PAR,XPAR,XPAR,[],FR0010263202,F70147107,B0T4GJ3
Totalenergies Ep Gabon SA,EC,XPAR,XPAR,[],GA0000121459,V9047L105,4309781
Alan Allman Associates Sa,AAA,XPAR,XPAR,[],FR0000062465,F9697P107,4900924
Antin Infrastructure Partners Sa,ANTIN,XPAR,XPAR,[],FR0014005AL0,,BNZJDK3
Colas SA,RE,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600', 'Russell 1000', 'Russell 3000', 'Snp 500']",FR0000121634,F19320104,5996085
Lectra Sa,LSS,XPAR,XPAR,[],FR0000065484,F56028107,4508663
Societe Generale Sa,GLE,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 50', 'Euro Stoxx 600']",FR0000130809,F8591M517,5966516
Aeroports De Paris Sa,ADP,XPAR,XPAR,"['Euro Stoxx 600', 'Nasdaq 100', 'Nasdaq Composite', 'Russell 1000', 'Russell 3000', 'Snp 500']",FR0010340141,F00882104,B164FY1
Gensight Biologics SA,SIGHT,XPAR,XPAR,[],FR0013183985,F4374K117,BD07M05
Union Technologies Informatique Group SA,FPG,XPAR,XPAR,[],FR0000074197,F9556P107,5975040
Oeneo Sa,SBT,XPAR,XPAR,[],FR0000052680,F6734P108,5998177
Groupe Gorge Sa,GOE,XPAR,XPAR,[],FR0000062671,F4606F100,B06BGH5
Boiron Sa,BOI,XPAR,XPAR,[],FR0000061129,F10626103,7622043
Michelin,ML,XPAR,XPAR,"['Cac 40', 'Euro Stoxx 600']",,F61824870,BPBPJ01
Paragon Id Sa,PID,XPAR,XPAR,[],FR0013318813,F6957K117,BG0SZP5
Societe Anonyme Des Bains De Mer Et Du Cercle Des Etrangers A Monaco Sa,BAIN,XPAR,XPAR,[],MC0000031187,F06489102,4184706
Getlink Se,GET,XPAR,XPAR,['Euro Stoxx 600'],FR0010533075,F4R053105,B292JQ9
Icade SA,ICAD,XPAR,XPAR,['Euro Stoxx 600'],FR0000035081,F4931M119,4554406
Figeac Aero SA,FGA,XPAR,XPAR,[],FR0011665280,F3R50B103,BHC8KJ9
Elis Sa,ELIS,XPAR,XPAR,['Euro Stoxx 600'],FR0012435121,F2976F106,BVSS790
Vranken Pommery Monopole,VRAP,XPAR,XPAR,[],FR0000062796,F9815S108,5438435
Eiffage Sa,FGR,XPAR,XPAR,['Euro Stoxx 600'],FR0000130452,F2924U106,B13X013
Groupe Sfpi SA,SFPI,XPAR,XPAR,[],FR0004155000,F2896M108,5933640
Orapi SA,ORAP,XPAR,XPAR,[],FR0000075392,F6862B103,7437968
Tonnellerie Francois Freres Sa,TFF,XPAR,XPAR,[],FR0013295789,F9229B105,BF2RW18
Robertet Cdv,CBR,XPAR,XPAR,[],FR0000045619,F78649112,4645430
Societe Pour L Informatique Industrielle Sa,SII,XPAR,XPAR,[],FR0000074122,F84073109,5801297
Aurea Sa,AURE,XPAR,XPAR,[],FR0000039232,F04977116,4061821
Jacquet Metals Sa,JCQ,XPAR,XPAR,[],FR0000033904,F5325D102,5286582
