Timestamp,Price,Size,Flag
11/05/2021 13:30:06,151.87,100,
11/05/2021 13:30:06,151.86,10,
11/05/2021 13:30:06,151.85,275,
11/05/2021 13:30:06,151.85,5,
11/05/2021 13:30:06,151.85,100,
11/05/2021 13:30:06,151.86,10,
11/05/2021 13:30:07,151.86,50,
11/05/2021 13:30:07,151.86,15,
11/05/2021 13:30:07,151.86,2,
11/05/2021 13:30:08,151.81,100,
11/05/2021 13:30:08,151.77,2,
11/05/2021 13:30:08,151.75,2,
11/05/2021 13:30:08,151.74,98,
11/05/2021 13:30:08,151.75,2,
11/05/2021 13:30:08,151.81,85,
11/05/2021 13:30:09,151.81,115,
11/05/2021 13:30:09,151.81,100,
11/05/2021 13:30:09,151.79,100,
11/05/2021 13:30:09,151.79,23,
11/05/2021 13:30:09,151.79,62,
11/05/2021 13:30:09,151.8,100,
11/05/2021 13:30:09,151.8,100,
11/05/2021 13:30:09,151.8,2,
11/05/2021 13:30:09,151.79,1,
11/05/2021 13:30:09,151.79,1,
11/05/2021 13:30:09,151.79,2,
11/05/2021 13:30:09,151.79,2,
11/05/2021 13:30:09,151.79,1,
11/05/2021 13:30:09,151.79,4,
11/05/2021 13:30:09,151.78,100,
11/05/2021 13:30:09,151.73,900,
11/05/2021 13:30:09,151.73,100,
11/05/2021 13:30:09,151.79,50,
11/05/2021 13:30:09,151.75,5,
11/05/2021 13:30:10,151.75,2,
11/05/2021 13:30:10,151.74,3,
11/05/2021 13:30:10,151.78,1,
11/05/2021 13:30:10,151.77,1,
11/05/2021 13:30:11,151.83,100,
11/05/2021 13:30:11,151.81,76,
11/05/2021 13:30:11,151.81,24,
11/05/2021 13:30:11,151.81,16,
11/05/2021 13:30:11,151.82,2,
11/05/2021 13:30:11,151.88,100,
11/05/2021 13:30:11,151.89,2,
11/05/2021 13:30:11,151.87,76,
11/05/2021 13:30:11,151.87,100,
11/05/2021 13:30:11,151.86,2,
11/05/2021 13:30:11,151.85,1,
11/05/2021 13:30:11,151.85,99,
11/05/2021 13:30:11,151.81,62,
11/05/2021 13:30:11,151.79,100,
11/05/2021 13:30:11,151.8,2,
11/05/2021 13:30:11,151.85,50,
11/05/2021 13:30:11,151.88,100,
11/05/2021 13:30:11,151.89,100,
11/05/2021 13:30:11,151.88,36,
11/05/2021 13:30:11,151.89,100,
11/05/2021 13:30:11,151.91,100,
11/05/2021 13:30:11,151.91,200,
11/05/2021 13:30:11,151.93,2,
11/05/2021 13:30:11,151.92,76,
11/05/2021 13:30:12,151.91,2,
11/05/2021 13:30:12,151.91,98,
11/05/2021 13:30:12,151.89,2,
11/05/2021 13:30:12,151.91,2,
11/05/2021 13:30:12,151.92,98,
11/05/2021 13:30:12,151.92,100,
11/05/2021 13:30:12,151.92,2,
11/05/2021 13:30:12,151.93,100,
11/05/2021 13:30:12,151.92,10,
11/05/2021 13:30:12,151.94,2,
11/05/2021 13:30:12,151.93,21,
11/05/2021 13:30:12,151.94,76,
11/05/2021 13:30:12,151.93,23,
11/05/2021 13:30:13,151.92,1,
11/05/2021 13:30:13,151.94,2,
11/05/2021 13:30:13,151.96,100,
11/05/2021 13:30:13,151.96,100,
11/05/2021 13:30:13,151.93,1,
11/05/2021 13:30:13,151.93,1,
11/05/2021 13:30:13,151.96,1,
11/05/2021 13:30:13,151.97,99,
11/05/2021 13:30:13,151.93,1,
11/05/2021 13:30:13,151.97,1,
11/05/2021 13:30:13,151.97,299,
11/05/2021 13:30:13,151.96,1,
11/05/2021 13:30:13,151.94,1,
11/05/2021 13:30:13,151.93,1,
11/05/2021 13:30:13,151.91,1,
11/05/2021 13:30:13,151.91,1,
11/05/2021 13:30:14,151.91,76,
11/05/2021 13:30:14,151.91,100,
11/05/2021 13:30:14,151.89,100,
11/05/2021 13:30:14,151.88,100,
11/05/2021 13:30:14,151.87,100,
11/05/2021 13:30:14,151.86,79,
11/05/2021 13:30:14,151.86,21,
11/05/2021 13:30:14,151.83,100,
11/05/2021 13:30:14,151.83,100,
11/05/2021 13:30:14,151.81,50,
11/05/2021 13:30:15,151.81,100,
11/05/2021 13:30:15,151.79,1,
11/05/2021 13:30:15,151.78,100,
11/05/2021 13:30:15,151.71,54,
11/05/2021 13:30:15,151.76,100,
11/05/2021 13:30:15,151.75,100,
11/05/2021 13:30:15,151.82,100,
11/05/2021 13:30:16,151.79,50,
11/05/2021 13:30:16,151.79,50,
11/05/2021 13:30:16,151.78,100,
11/05/2021 13:30:16,151.77,100,
11/05/2021 13:30:16,151.77,24,
11/05/2021 13:30:16,151.77,100,
11/05/2021 13:30:16,151.77,100,
11/05/2021 13:30:16,151.75,100,
11/05/2021 13:30:16,151.75,100,
11/05/2021 13:30:16,151.75,2,
11/05/2021 13:30:17,151.8,100,
11/05/2021 13:30:17,151.8,28,
11/05/2021 13:30:17,151.86,455,
11/05/2021 13:30:17,151.83,100,
11/05/2021 13:30:18,151.83,100,
11/05/2021 13:30:18,151.82,100,
11/05/2021 13:30:18,151.8,100,
11/05/2021 13:30:18,151.84,100,
